machine,app,"args",ranks,duration,BR_INS,LD_INS,SR_INS,TOT_INS,L1_LDM,L1_STM,L2_LDM,L2_STM,FP_SINGLE,FP_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,MEM_WCY,REALTIME (sec),PM_MATH_FLOP_CMPL,L1-DCACHE-LOAD-MISSES,L1-ICACHE-LOAD-MISSES,Overhead
lassen,deepcam,"",1,0.0333,815802.8096289911,3741400.921460072,3993558.395910537,7010415.613134167,20.09951087872936,195772.34713138247,865766.3783674537,63460.71511530793,-1.0,0.0,5333333.333333333,731148.0,372682.0,6671989.166396828,0.006672333333333333,,,,1.9913276666666668
lassen,deepcam,"",1,0.05,283325.52567248995,3446448.5754521675,592944.3731290734,2504593.0217207847,0.6151139275971765,1631276.8900436957,864877.8814375184,455332.0429908779,-1.0,0.0,3333333.333333333,731148.0,372682.0,2.3397789317334023,0.0033373333333333328,,,,2.9966626666666665
lassen,deepcam,"",1,0.05,455005.5978239824,0.4186004291137152,438777.50382209616,1401918.1324515508,3.441155607973773,843751.145273336,55381.847702931926,528439.7098245756,-1.0,0.0,4666666.666666667,731148.0,372682.0,7908439.7601365885,0.0016686666666666664,,,,2.9983313333333332
lassen,deepcam,"",1,0.05,462587.58372597647,3115848.4482249236,1534448.19628316,6637849.572167795,25.16224203461745,2146436.7011786546,463036.4648785037,220969.01456965585,-1.0,0.0,4000000.0,731120.0,372682.0,5669915.791993104,0.003334666666666667,,,,2.9966653333333335
lassen,deepcam,"",1,0.05,479794.82269099256,4487856.6378998,2725282.9492555712,9552607.92587582,0.8374832154040998,2816005.617372433,112484.66972897797,384967.034221125,-1.0,0.0,4000000.0,731138.6666666665,372682.0,69.54689579162053,0.001668,,,,2.998332
lassen,deepcam,"",1,0.05,487328.64772034326,5119941.159783836,1790537.8510174484,13249888.299578762,33.091952989912116,10294.735666606344,875238.5861381675,56751.63626016589,-1.0,0.0,5333333.333333333,731129.3333333335,372682.0,67.00271538615186,0.003386666666666667,,,,2.9966133333333334
lassen,deepcam,"",1,0.05,535471.4921067202,22.813656625520224,1220138.9609355142,6245730.527610533,0.3333333333333333,2477873.2653406085,75045.22298643767,502739.2143122789,-1.0,0.0,4000000.0,731138.6666666665,372682.0,2.5743046825673352,0.006697666666666667,,,,2.9933023333333333
lassen,deepcam,"",1,0.05,681297.1476571896,6018.318709850258,783889.8068406442,0.8239707671447221,1646.4520816213462,25254368.51634434,478956.4568712497,2175504.693821237,-1.0,0.0,4000000.0,731138.6666666665,372682.0,1.5495146634013293,0.003335333333333334,,,,2.9966646666666668
lassen,deepcam,"",1,0.1,339111.11148691544,4755834.064303982,4214004.465324561,13284375.98472323,0.3333333333333333,5052862.454839891,138943.39739984125,726939.6439346983,-1.0,0.0,4000000.0,731148.0,372682.0,3349171.7878301265,0.001668,,,,5.998332
lassen,deepcam,"",27,0.1666,1167969.3985468424,10977614.678515948,2063349.184576119,10413723.471297557,189555.01512469054,3675200.978461654,597588.1213359057,599964.626995204,-1.0,0.0,11012345.679012343,380216.64197530865,63473.30864197531,,0.04472987654320988,,,,9.95127012345679
