no,corona,quartz,lassen,ruby
438,439.1784,1610.0254,375.9602,615.1568
439,1550.7161,3763.0961,999.7437,1410.325
440,1040.8645,3086.7367,757.0319,1154.1108
441,1130.2634,4589.0988,1061.014,1840.1079
442,124.5924,308.1009,69.6058,122.4266
443,747.0115,2642.6108,742.0539,997.382
444,191.7363,737.5616,240.3661,299.7639
445,1678.6645,3220.9659,958.8425,1323.9414
446,1767.2983,2958.1153,763.9717,1116.0735
447,536.3578,1306.7586,338.3138,509.0574
448,2052.4788,2882.2205,726.4788,1176.1795
449,15.0982,22.1127,5.4158,8.9698
450,677.9226,2605.3555,671.5438,3328.7295
451,955.1166,2613.648,668.4511,1018.8498
452,1403.6581,2922.1399,679.698,1085.6729
453,287.1431,926.4166,220.6641,360.0088
454,1737.3578,3807.5156,942.5239,4164.3368
455,2188.5552,3713.4626,1143.7586,1405.6386
456,749.9808,2226.3566,645.9473,886.3722
457,1004.0788,3585.7406,885.6836,1446.2234
458,1971.4992,3866.6275,1044.2658,1676.8256
459,2242.9148,8884.2687,2385.8364,3856.8072
460,1143.7649,2432.4459,597.8684,964.9183
461,1062.7487,4307.055,1044.3299,5092.6108
462,247.8782,775.4705,210.9802,323.2142
463,1236.4141,2727.0487,647.2649,1018.9727
464,1619.6779,5789.8171,1211.1305,2234.2998
465,2155.0288,6382.5136,1393.4938,2502.8036
466,1971.9676,7723.7684,1809.7171,3018.2572
467,1635.9707,2307.614,671.3653,905.5507
468,1426.9347,1777.7913,479.9402,711.3077
469,886.4884,2000.8617,482.1235,840.1933
470,2228.5432,7788.4797,2069.5141,3085.6743
471,360.2708,837.9896,186.3886,335.9181
472,1661.7298,5819.9479,1291.1999,2303.5436
473,1683.3101,3247.0765,846.168,1239.2759
474,586.6217,1455.6359,332.6861,637.9841
475,2074.6389,6497.6632,1746.7922,2659.4908
476,1415.1596,4163.9551,1208.9604,1708.1516
477,1124.6533,2818.1893,721.4279,1053.1512
478,1282.7875,4551.6132,1186.9354,1825.9052
479,300.8094,1135.1423,307.3797,465.1397
480,235.073,403.7607,112.0434,157.5339
481,565.9075,2087.6142,526.4257,793.6563
482,1800.0976,4938.2078,1150.5636,1962.373
483,1908.0553,2909.2296,723.48,1136.2745
484,670.0141,778.5711,188.5352,289.2251
485,417.9814,1245.3431,336.4343,539.9873
486,755.7643,1344.0835,336.4158,512.1568
487,1563.3404,2437.8732,656.3678,942.2594
488,833.1879,914.6904,181.3587,358.0848
489,391.8399,534.8778,132.5787,213.8851
490,1923.9212,2195.1705,519.9071,910.5004
491,2181.7203,5094.1359,1188.3187,2002.9829
492,1385.6098,4753.997,6520.6073,1918.2573
493,1919.2747,7479.2038,1664.2428,2999.2201
494,344.3241,926.8161,229.6453,376.4048
495,2005.5605,7659.3139,1956.0992,3365.4485
496,1548.4275,2711.5563,617.9677,3295.7339
497,1059.422,2445.4085,599.7689,890.0247
498,1277.1611,1738.4825,426.1598,639.0333
499,1141.9245,2218.7585,588.455,822.2537
500,131.8923,401.0295,91.0089,162.3968
501,1212.5871,4277.0968,1163.9088,1684.8746
502,24.687,84.185,21.0167,34.7348
503,88.4916,279.5833,75.8018,109.4025
504,673.2128,1320.3592,297.6089,527.4028
505,795.18,1116.022,288.0304,430.3935
506,920.9141,3078.9537,692.5736,1251.9854
507,1629.6656,2620.9231,708.291,1119.2482
508,1883.645,7359.0013,1891.7843,2985.3427
509,185.1786,446.744,131.1567,168.1715
