machine,app,ranks,BR_INS,LD_INS,SR_INS,TOT_INS,L1_LDM,L1_STM,L2_LDM,L2_STM,FP_SINGLE,FP_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,MEM_WCY,rp
corona,miniVite,1,,3,2,,64485,-1,-1,-1,-1,-1,-1,293744,206603,,2.006024096
corona,miniVite,1,2000000,8335,3,14000000,34809,-1,-1,-1,-1,-1,-1,293744,206610,93,3.501501502
corona,miniVite,1,,3,1,4000000,46431,-1,-1,-1,-1,-1,-1,293744,206605,2,1
corona,miniVite,1,,3,1,4000000,78804,-1,-1,-1,-1,-1,-1,293744,206608,4,2.006024096
corona,miniVite,1,2000000,8305,2,6000000,107232,-1,-1,-1,-1,-1,-1,293744,206609,3,3.003003003
corona,miniVite,1,,3,2,2000000,54377,-1,-1,-1,-1,-1,-1,293744,206605,2,1
corona,miniVite,1,2000000,768740,3,12000000,56532,-1,-1,-1,-1,-1,-1,293744,206609,6,3.003003003
corona,miniVite,1,,51,3,4000000,14672,-1,-1,-1,-1,-1,-1,293744,206606,4,1
corona,miniVite,1,,3,1,4000000,36040,-1,-1,-1,-1,-1,-1,293744,206608,2,1
corona,miniVite,1,2000000,91,3,6000000,72192,-1,-1,-1,-1,-1,-1,293744,206608,181540,6.024096386
corona,miniVite,1,,2,,2000000,39473,-1,-1,-1,-1,-1,-1,293744,206605,,3.012048193
corona,miniVite,1,2000000,8893,3,14000000,53818,-1,-1,-1,-1,-1,-1,293744,206609,378279,1
corona,miniVite,1,,3,1,2000000,12464,-1,-1,-1,-1,-1,-1,293744,206606,3,3.003003003
corona,miniVite,1,,97,2,4000000,60177,-1,-1,-1,-1,-1,-1,293740,206609,4,1
corona,miniVite,1,,91,2,4000000,41481,-1,-1,-1,-1,-1,-1,293744,206609,16,6.024096386
corona,miniVite,1,,3,3,2000000,35783,-1,-1,-1,-1,-1,-1,293744,206605,4,2.006024096
corona,miniVite,1,2000000,8580,2,16000000,43088,-1,-1,-1,-1,-1,-1,293744,206609,19,3.012048193
corona,miniVite,1,,3,1,4000000,47373,-1,-1,-1,-1,-1,-1,293744,206606,4,3.501501502
corona,miniVite,1,,2,2,4000000,85313,-1,-1,-1,-1,-1,-1,293744,206609,,2.006024096
corona,miniVite,1,2000000,8173,55,4000000,86619,-1,-1,-1,-1,-1,-1,293744,206609,3,2.006024096
corona,miniVite,1,,3,1,2000000,18186,-1,-1,-1,-1,-1,-1,293744,206604,97924,7.024096386
corona,miniVite,1,2000000,9117,2,14000000,106982,-1,-1,-1,-1,-1,-1,293744,206611,4,2.006024096
corona,miniVite,1,,3,1,2000000,34853,-1,-1,-1,-1,-1,-1,293744,206606,3,3.003003003
corona,miniVite,1,,88,2,4000000,22100,-1,-1,-1,-1,-1,-1,293744,206608,3,1.501501502
corona,miniVite,1,2000000,8097,3,6000000,18620,-1,-1,-1,-1,-1,-1,293744,206608,5,2.006024096
corona,miniVite,1,,3,2,2000000,12844,-1,-1,-1,-1,-1,-1,293744,206605,3,2
corona,miniVite,1,4000000,8734,2,16000000,112800,-1,-1,-1,-1,-1,-1,293744,206611,4,1
corona,miniVite,1,,3,1,2000000,14305,-1,-1,-1,-1,-1,-1,293744,206606,3,1
corona,miniVite,1,,3,51,4000000,30721,-1,-1,-1,-1,-1,-1,293744,206609,18,3.003003003
corona,miniVite,1,2000000,9661,3,6000000,28669,-1,-1,-1,-1,-1,-1,293744,206607,1111,1
corona,miniVite,1,,3,1,2000000,27702,-1,-1,-1,-1,-1,-1,293744,206603,88565,2.501501502
corona,miniVite,1,2000000,3884,16,14000000,114362,-1,-1,-1,-1,-1,-1,293744,206610,10021,2.006024096
corona,miniVite,1,,3,1,2000000,12907,-1,-1,-1,-1,-1,-1,293744,206607,16,1
